model,posm,posm_name
EWF9023P5WC,CARE_W5002,Sticker Máy giặt UC3  500
EWF9023P5WC,CARE_NEW,Sticker Mới UC3
EWF9023P5WC,CARE_TL,Sticker Made in Thailand UC3
EWF9023P5WC,CARE_45 NEW,Drum Máy giặt UC3 Fullwash 45 
EWF9023P5WC,CARE_SDA01,Tentcard gia dụng chữ L
EWF9023P5SC,CARE_W5002,Sticker Máy giặt UC3  500
EWF9023P5SC,CARE_NEW,Sticker Mới UC3
EWF9023P5SC,CARE_TL,Sticker Made in Thailand UC3
EWF9023P5SC,CARE_45 NEW,Drum Máy giặt UC3 Fullwash 45 
EWF9023P5SC,CARE_SDA01,Tentcard gia dụng chữ L
EWF1024D3WC,CARE_W3002,Sticker Máy giặt UC3  300
EWF1024D3WC,CARE_NEW,Sticker Mới UC3
EWF1024D3WC,CARE_TL,Sticker Made in Thailand UC3
EWF1024D3WC,CARE_45 NEW,Drum Máy giặt UC3 Fullwash 45 
EWF1024D3WC,CARE_SDA01,Tentcard gia dụng chữ L
EWF1024D3SC,CARE_W3002,Sticker Máy giặt UC3  300
EWF1024D3SC,CARE_NEW,Sticker Mới UC3
EWF1024D3SC,CARE_TL,Sticker Made in Thailand UC3
EWF1024D3SC,CARE_45 NEW,Drum Máy giặt UC3 Fullwash 45 
EWF1024D3SC,CARE_SDA01,Tentcard gia dụng chữ L
EWF1023P5WC,CARE_W5002,Sticker Máy giặt UC3  500
EWF1023P5WC,CARE_NEW,Sticker Mới UC3
EWF1023P5WC,CARE_TL,Sticker Made in Thailand UC3
EWF1023P5WC,CARE_45 NEW,Drum Máy giặt UC3 Fullwash 45 
EWF1023P5WC,CARE_SDA01,Tentcard gia dụng chữ L
EWF1023P5SC,CARE_W5002,Sticker Máy giặt UC3  500
EWF1023P5SC,CARE_NEW,Sticker Mới UC3
EWF1023P5SC,CARE_TL,Sticker Made in Thailand UC3
EWF1023P5SC,CARE_45 NEW,Drum Máy giặt UC3 Fullwash 45 
EWF1023P5SC,CARE_SDA01,Tentcard gia dụng chữ L
EWF1043R7WC,CARE_W7002,Sticker Máy giặt UC3  700
EWF1043R7WC,CARE_NEW,Sticker Mới UC3
EWF1043R7WC,CARE_TL,Sticker Made in Thailand UC3
EWF1043R7WC,CARE_AI,Sticker AI Wifi UC3
EWF1043R7WC,CARE_45I,Drum Máy giặt UC3 Fullwash 45 IntelliQuick
EWF1043R7WC,CARE_SDA01,Tentcard gia dụng chữ L
EWF1043R7SC,CARE_W7002,Sticker Máy giặt UC3  700
EWF1043R7SC,CARE_NEW,Sticker Mới UC3
EWF1043R7SC,CARE_TL,Sticker Made in Thailand UC3
EWF1043R7SC,CARE_AI,Sticker AI Wifi UC3
EWF1043R7SC,CARE_45I,Drum Máy giặt UC3 Fullwash 45 IntelliQuick
EWF1043R7SC,CARE_SDA01,Tentcard gia dụng chữ L
EWF1143R7WC,CARE_W7002,Sticker Máy giặt UC3  700
EWF1143R7WC,CARE_NEW,Sticker Mới UC3
EWF1143R7WC,CARE_TL,Sticker Made in Thailand UC3
EWF1143R7WC,CARE_AI,Sticker AI Wifi UC3
EWF1143R7WC,CARE_45I,Drum Máy giặt UC3 Fullwash 45 IntelliQuick
EWF1143R7WC,CARE_SDA01,Tentcard gia dụng chữ L
EWF1143R7SC,CARE_W7002,Sticker Máy giặt UC3  700
EWF1143R7SC,CARE_NEW,Sticker Mới UC3
EWF1143R7SC,CARE_TL,Sticker Made in Thailand UC3
EWF1143R7SC,CARE_AI,Sticker AI Wifi UC3
EWF1143R7SC,CARE_45I,Drum Máy giặt UC3 Fullwash 45 IntelliQuick
EWF1143R7SC,CARE_SDA01,Tentcard gia dụng chữ L
EWF1142R9SC,CARE_W9002,Sticker Máy giặt UC3 900 
EWF1142R9SC,CARE_NEW,Sticker Mới UC3
EWF1142R9SC,CARE_TL,Sticker Made in Thailand UC3
EWF1142R9SC,CARE_AI,Sticker AI Wifi UC3
EWF1142R9SC,CARE_45I,Drum Máy giặt UC3 Fullwash 45 IntelliQuick
EWF1142R9SC,CARE_SDA01,Tentcard gia dụng chữ L
EWF1343R7WC,CARE_W7002,Sticker Máy giặt UC3  700
EWF1343R7WC,CARE_NEW,Sticker Mới UC3
EWF1343R7WC,CARE_TL,Sticker Made in Thailand UC3
EWF1343R7WC,CARE_AI,Sticker AI Wifi UC3
EWF1343R7WC,CARE_45I,Drum Máy giặt UC3 Fullwash 45 IntelliQuick
EWF1343R7WC,CARE_SDA01,Tentcard gia dụng chữ L
EWW9024P3WC,CARE_W3004,Sticker Máy giặt sấy UC3  300
EWW9024P3WC,CARE_NEW,Sticker Mới UC3
EWW9024P3WC,CARE_TL,Sticker Made in Thailand UC3
EWW9024P3WC,CARE_AI,Sticker AI Wifi UC3
EWW9024P3WC,CARE_WD,Sticker decal Giặt sấy UC3
EWW9024P3WC,CARE_45 NEW,Drum Máy giặt UC3 Fullwash 45 
EWW9024P3WC,CARE_SDA01,Tentcard gia dụng chữ L
EWW1023P5SC,CARE_W5004,Sticker Máy giặt sấy UC3  500
EWW1023P5SC,CARE_NEW,Sticker Mới UC3
EWW1023P5SC,CARE_TL,Sticker Made in Thailand UC3
EWW1023P5SC,CARE_AI,Sticker AI Wifi UC3
EWW1023P5SC,CARE_WD,Sticker decal Giặt sấy UC3
EWW1023P5SC,CARE_45 NEW,Drum Máy giặt UC3 Fullwash 45 
EWW1023P5SC,CARE_SDA01,Tentcard gia dụng chữ L
EWW1123P5WC,CARE_W5004,Sticker Máy giặt sấy UC3  500
EWW1123P5WC,CARE_NEW,Sticker Mới UC3
