model,posm,posm_name
EQE4905A-A,TASTE_MD80Q_01,Sticker MD80Q Outside
EQE4905A-A,TASTE_MD80Q_02,Sticker MD80Q 3 tinh nang
EQE4905A-A,TASTE_MD80Q_03,Sticker MD80Q Cooling 360
EQE4905A-A,TASTE_MD80Q_04,Sticker MD80Q twin freshzone
EQE4905A-A,TASTE_REF_Topper ,Topper logo Tu lanh size lon
EQE4905A-A,CARE_NEW,Sticker Mới UC3
ETG7287GKR,TASTE_G07,"Sticker Bếp gas âm ETG7287GKR, EHG7202BF, EHG7303BF & các bếp gas âm còn lại"
ETG7287GKR,CARE_SDA01,Tentcard gia dụng chữ L
ETG7267GKR,TASTE_G08,"Sticker Bếp gas dương ETG7267GKR, ETG7257GKR"
ETG7267GKR,CARE_SDA01,Tentcard gia dụng chữ L
ETG7257GKR,TASTE_G08,"Sticker Bếp gas dương ETG7267GKR, ETG7257GKR"
ETG7257GKR,CARE_SDA01,Tentcard gia dụng chữ L
EHG7202BF,TASTE_G07,"Sticker Bếp gas âm ETG7287GKR, EHG7202BF, EHG7303BF & các bếp gas âm còn lại"
EHG7202BF,CARE_SDA01,Tentcard gia dụng chữ L
EHG7303BF,TASTE_G07,"Sticker Bếp gas âm ETG7287GKR, EHG7202BF, EHG7303BF & các bếp gas âm còn lại"
EHG7303BF,CARE_SDA01,Tentcard gia dụng chữ L
ETM3100L-B,TASTE_ETM3100,Sticker tủ lạnh CPG ETM3100L-B_Outside
ETM3100L-B,TASTE_EXTRACHILL,Sticker tủ lạnh CPG_ExtraChill
ETM3100L-B,TASTE_TWIST,Sticker tủ lạnh CPG_Ngăn đá xoay
ETM3100L-B,TASTE_GREENZONE,Sticker tủ lạnh CPG_GreenZone
ETM3100L-B,TASTE_3USP,Sticker tủ lạnh CPG_3 tinh nang
ETM3100L-B,CARE_NEW,Sticker Mới UC3
ETM3100L-B,CARE_TL,Sticker Made in Thailand UC3
ETM3100L-B,TASTE_REF_Topper ,Topper logo Tu lanh size lon
ETM3440L-B,TASTE_ETM3440,Sticker tủ lạnh CPG ETM3440L-B_Outside
ETM3440L-B,TASTE_EXTRACHILL,Sticker tủ lạnh CPG_ExtraChill
ETM3440L-B,TASTE_TWIST,Sticker tủ lạnh CPG_Ngăn đá xoay
ETM3440L-B,TASTE_GREENZONE,Sticker tủ lạnh CPG_GreenZone
ETM3440L-B,TASTE_3USP,Sticker tủ lạnh CPG_3 tinh nang
ETM3440L-B,CARE_NEW,Sticker Mới UC3
ETM3440L-B,CARE_TL,Sticker Made in Thailand UC3
ETM3440L-B,TASTE_REF_Topper ,Topper logo Tu lanh size lon
ETB3460L-B,TASTE_ETB3460,Sticker tủ lạnh CPG ETB3460L-B_Outside
ETB3460L-B,TASTE_EXTRACHILL,Sticker tủ lạnh CPG_ExtraChill
ETB3460L-B,TASTE_TWIST,Sticker tủ lạnh CPG_Ngăn đá xoay
ETB3460L-B,TASTE_GREENZONE,Sticker tủ lạnh CPG_GreenZone
ETB3460L-B,TASTE_3USP,Sticker tủ lạnh CPG_3 tinh nang
ETB3460L-B,TASTE_AUTOICE,Sticker tủ lạnh CPG_AutoIce
ETB3460L-B,CARE_NEW,Sticker Mới UC3
ETB3460L-B,CARE_TL,Sticker Made in Thailand UC3
ETB3460L-B,TASTE_REF_Topper ,Topper logo Tu lanh size lon
